Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Cyprus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gibraltar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FYR of Macedonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,  0.0,  0.1,  0.1,  0.2,  0.2,  0.2,  0.1,  0.1,  0.2,  0.2,  0.2
Malta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Romania,  52.1,  52.9,  55.8,  57.6,  62.6,  69.0,  73.1,  75.6,  72.8,  75.7,  79.5,  80.8,  80.5,  80.2,  74.6,  75.9,  74.6,  74.8,  75.0,  67.4,  55.6,  47.1,  44.1,  42.1,  43.1,  43.3,  37.6,  33.8,  30.5,  30.6,  29.3,  30.4,  32.8,  30.9,  30.2,  30.9,  28.0,  27.9
Serbia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  6.0,  5.8,  5.1,  3.2,  2.7,  3.0,  4.4,  4.8,  4.5,  3.3,  3.4,  3.9,  3.9,  4.1,  5.2,  4.3,  4.4,  4.5,  4.5
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  1.6,  1.6,  1.8,  1.7,  1.8,  1.7,  1.4,  1.4,  1.5,  1.7,  1.7,  1.8,  1.8,  1.9,  1.8,  1.9,  1.8,  2.0,  2.0,  2.1,  2.0,  2.0,  2.0
Former Yugoslavia (if no detail),  1.9,  2.4,  2.6,  2.9,  2.9,  3.1,  3.3,  3.9,  4.7,  5.8,  6.1,  7.9,  8.6,  9.7,  11.0,  9.9,  10.7,  10.5,  11.3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Non-OECD Europe,  54.8,  55.9,  59.2,  61.8,  68.4,  76.7,  82.1,  85.6,  84.0,  89.6,  94.5,  98.5,  99.3,  100.6,  97.1,  100.4,  101.2,  101.3,  102.3,  93.3,  78.9,  68.2,  62.2,  59.4,  62.3,  64.6,  57.4,  52.0,  46.6,  47.4,  46.2,  46.8,  49.7,  49.4,  48.6,  49.5,  47.7,  47.1
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  8.3,  8.2,  3.5,  1.5,  1.7,  2.7,  2.1,  2.7,  2.8,  2.3,  2.6,  2.7,  2.0,  2.3,  2.5,  3.1,  3.2,  3.8,  4.2
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  31.5,  30.2,  22.1,  16.5,  15.9,  12.7,  11.2,  10.6,  10.1,  10.8,  10.8,  16.0,  15.8,  16.5,  18.0,  18.0,  19.7,  16.9,  19.7
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  26.9,  24.6,  33.0,  31.3,  27.5,  25.5,  27.2,  31.3,  30.6,  31.7,  32.2,  32.6,  33.2,  34.6,  37.6,  38.3,  38.9,  39.3,  40.2
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  2.7,  2.7,  1.6,  0.8,  1.1,  1.3,  1.4,  1.4,  1.3,  1.3,  1.5,  1.6,  1.4,  1.5,  1.7,  1.8,  1.8,  1.8,  1.7
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  10.6,  9.1,  9.1,  7.3,  3.6,  2.2,  1.8,  1.5,  1.6,  1.6,  2.2,  1.7,  1.2,  1.4,  1.7,  2.2,  2.7,  2.9,  2.3
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  24.8,  23.6,  34.7,  24.5,  18.9,  23.5,  18.2,  16.4,  16.4,  16.4,  20.6,  20.1,  23.1,  27.8,  31.3,  39.3,  45.7,  51.1,  58.6
Kyrgyzstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  3.6,  3.6,  3.6,  2.7,  1.7,  1.7,  2.1,  1.7,  2.0,  1.2,  1.3,  1.4,  1.7,  1.4,  1.6,  1.4,  1.5,  1.6,  1.5
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  5.6,  5.5,  3.9,  2.6,  1.9,  2.3,  2.0,  2.4,  2.4,  2.3,  2.5,  2.9,  3.0,  3.1,  3.1,  3.2,  3.3,  3.2,  3.1
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  10.3,  10.7,  6.2,  3.3,  3.7,  4.3,  4.5,  4.2,  3.6,  3.8,  4.3,  4.5,  4.5,  4.9,  5.0,  5.3,  5.2,  5.9,  5.3
Republic of Moldova,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  7.6,  7.7,  6.7,  6.1,  5.9,  5.5,  6.6,  7.2,  6.4,  5.5,  4.8,  5.3,  4.7,  5.0,  5.2,  5.6,  5.2,  5.3,  4.5
Russian Federation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  866.3,  898.9,  854.8,  827.4,  767.0,  728.8,  723.0,  696.1,  695.1,  708.3,  718.1,  724.9,  730.8,  766.4,  772.2,  783.4,  804.5,  820.7,  821.5
Tajikistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  3.2,  3.2,  3.4,  2.7,  1.5,  1.2,  1.2,  1.5,  1.5,  1.5,  1.5,  1.2,  1.0,  1.1,  1.3,  1.3,  1.3,  1.3,  1.0
Turkmenistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  28.6,  25.7,  12.9,  18.3,  24.9,  26.2,  21.2,  21.6,  20.5,  25.0,  25.5,  26.6,  27.0,  30.0,  26.8,  28.7,  28.8,  31.3,  32.1
Ukraine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  209.4,  212.5,  196.4,  183.4,  163.0,  156.1,  169.8,  151.2,  135.6,  147.1,  141.9,  142.0,  140.2,  148.4,  146.2,  144.0,  130.0,  125.1,  125.1
Uzbekistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  75.5,  77.6,  78.1,  82.8,  83.8,  77.4,  78.7,  80.7,  92.4,  94.9,  93.4,  94.8,  99.9,  95.0,  92.2,  89.4,  93.4,  94.6,  97.9
Former Soviet Union (if no detail),  431.8,  453.5,  470.8,  499.0,  520.4,  560.0,  590.9,  624.9,  661.1,  704.2,  752.8,  811.2,  869.7,  940.7, 1 021.2, 1 089.2, 1 153.6, 1 207.3, 1 267.6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Former Soviet Union,  431.8,  453.5,  470.8,  499.0,  520.4,  560.0,  590.9,  624.9,  661.1,  704.2,  752.8,  811.2,  869.7,  940.7, 1 021.2, 1 089.2, 1 153.6, 1 207.3, 1 267.6, 1 315.0, 1 343.9, 1 269.8, 1 211.1, 1 122.0, 1 071.3, 1 071.0, 1 030.4, 1 022.2, 1 053.7, 1 063.1, 1 078.3, 1 089.7, 1 139.5, 1 146.4, 1 164.9, 1 185.1, 1 204.7, 1 218.7
Argentina,  12.3,  13.8,  15.4,  16.0,  17.1,  18.3,  18.6,  17.9,  19.6,  21.7,  22.4,  24.7,  28.2,  30.0,  30.5,  36.4,  36.6,  42.4,  45.8,  43.4,  45.1,  46.3,  48.7,  49.4,  51.2,  61.6,  59.7,  61.2,  65.8,  68.5,  63.6,  62.4,  69.2,  76.2,  78.4,  81.5,  87.1,  88.3
Bolivia,  0.1,  0.2,  0.2,  0.2,  0.3,  0.4,  0.4,  0.5,  0.5,  0.6,  0.7,  0.7,  0.7,  0.8,  0.8,  0.9,  1.1,  1.1,  1.4,  1.5,  1.6,  1.8,  1.9,  2.2,  2.5,  2.2,  2.4,  2.7,  2.3,  2.3,  2.3,  2.4,  2.1,  2.9,  3.6,  3.8,  4.5,  4.8
Brazil,  0.2,  0.3,  0.3,  0.7,  0.7,  0.8,  1.1,  1.3,  1.4,  1.7,  1.5,  2.2,  2.9,  3.4,  4.3,  5.1,  5.7,  5.9,  6.1,  6.4,  6.4,  7.0,  7.7,  7.9,  8.5,  10.0,  10.9,  11.7,  13.4,  17.3,  22.4,  27.7,  29.1,  35.5,  38.0,  39.9,  40.7,  49.0
Chile,  1.3,  1.2,  0.9,  1.0,  1.1,  1.2,  1.2,  1.2,  1.4,  1.4,  1.4,  1.4,  1.6,  1.6,  1.6,  1.5,  1.4,  2.0,  3.1,  2.1,  1.8,  2.1,  2.0,  2.1,  2.1,  2.2,  3.7,  5.5,  7.6,  10.3,  12.0,  11.9,  13.3,  14.6,  14.0,  12.5,  6.6,  3.7
Colombia,  2.6,  3.2,  3.3,  3.4,  3.2,  3.5,  3.9,  4.8,  5.2,  5.7,  6.2,  6.6,  7.3,  7.3,  7.3,  7.4,  7.6,  7.6,  7.2,  7.5,  7.8,  7.6,  7.9,  7.8,  8.3,  9.1,  11.4,  13.2,  11.4,  12.8,  13.5,  13.5,  13.0,  13.6,  14.3,  14.3,  14.2,  15.2
Costa Rica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.2,  0.9,  1.1,  1.1,  1.1,  1.3,  1.3,  1.4,  2.1,  2.3,  2.2
Dominican Republic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.2,  0.2,  0.5,  0.6,  0.8,  1.0
Ecuador,  0.1,  0.2,  0.1,  0.2,  0.3,  0.3,  0.2,  0.2,  0.1,  0.1,  0.1,  0.2,  0.2,  0.4,  0.4,  0.4,  0.3,  0.4,  0.3,  0.5,  0.6,  0.6,  0.7,  0.7,  0.6,  0.7,  0.6,  0.6,  0.6,  0.7,  0.7,  0.5,  0.9,  1.2,  0.9,  1.5,  1.5,  1.0
El Salvador,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guatemala,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Haiti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamaica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Netherlands Antilles,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nicaragua,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Panama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Paraguay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peru,  0.6,  0.7,  0.7,  0.7,  0.8,  1.0,  0.9,  0.9,  1.0,  1.0,  1.3,  1.4,  0.7,  1.1,  1.3,  1.3,  1.2,  1.2,  1.0,  1.0,  0.9,  0.8,  0.6,  0.4,  0.6,  1.0,  0.7,  0.9,  1.2,  1.1,  1.1,  1.2,  1.3,  2.0,  3.5,  3.9,  5.5,  6.8
Trinidad and Tobago,  3.4,  3.5,  3.4,  3.1,  2.8,  3.2,  3.7,  4.3,  4.4,  5.1,  5.8,  6.6,  6.8,  7.0,  7.1,  7.3,  7.8,  8.9,  8.9,  9.3,  9.3,  9.5,  9.4,  9.9,  10.0,  11.6,  12.2,  14.0,  14.8,  15.3,  16.6,  17.3,  18.5,  23.9,  27.6,  34.7,  32.9,  33.8
Uruguay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.1,  0.1,  0.0,  0.1,  0.2,  0.2,  0.2,  0.2,  0.2
Venezuela,  20.8,  21.2,  25.1,  25.8,  24.3,  25.5,  27.9,  27.7,  31.7,  32.6,  32.2,  34.3,  34.2,  38.8,  38.5,  39.0,  39.2,  38.6,  41.8,  46.3,  48.6,  49.5,  51.4,  53.8,  58.4,  64.9,  65.1,  67.0,  59.0,  61.7,  56.8,  54.8,  52.8,  51.6,  52.6,  54.7,  53.3,  53.5
Other Latin America,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.0,  0.1,  0.1,  0.7,  1.3,  1.3,  1.5,  1.4,  1.4,  1.4,  1.5,  1.5
Latin America,  41.6,  44.2,  49.5,  51.2,  50.8,  54.2,  57.9,  58.8,  65.5,  70.0,  71.6,  78.2,  82.6,  90.3,  91.9,  99.3,  100.9,  108.1,  115.9,  118.1,  122.2,  125.4,  130.5,  134.3,  142.3,  163.3,  167.0,  177.2,  177.1,  191.7,  191.4,  194.2,  203.3,  224.6,  236.5,  251.1,  251.0,  260.9
Bangladesh,  0.6,  0.6,  0.9,  1.2,  0.9,  1.2,  1.3,  1.4,  1.7,  2.1,  2.0,  2.6,  2.9,  3.2,  4.0,  4.6,  5.4,  6.4,  6.7,  7.3,  7.6,  8.3,  9.2,  10.1,  10.9,  11.7,  11.5,  12.5,  13.8,  14.6,  16.7,  17.7,  19.3,  20.7,  22.2,  25.4,  27.7,  30.6
Brunei Darussalam,  0.2,  0.2,  0.5,  1.0,  1.2,  1.6,  1.8,  1.6,  1.7,  2.1,  2.1,  2.2,  2.3,  2.4,  2.3,  2.3,  2.4,  2.4,  2.4,  2.5,  2.6,  2.7,  2.9,  3.1,  3.4,  3.4,  3.7,  3.0,  2.9,  3.2,  3.1,  3.1,  3.9,  3.6,  3.5,  5.7,  5.3,  5.5
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chinese Taipei,  1.9,  2.2,  2.6,  2.7,  2.7,  3.3,  3.4,  3.2,  3.0,  3.3,  2.9,  2.0,  2.0,  2.1,  1.9,  1.7,  1.7,  1.9,  2.0,  3.3,  5.4,  5.7,  5.5,  7.3,  7.8,  8.2,  9.4,  11.8,  11.6,  12.9,  14.3,  16.3,  16.4,  19.4,  20.7,  21.1,  23.1,  25.1
India,  1.3,  1.4,  1.4,  1.6,  1.9,  2.2,  2.4,  2.8,  2.7,  2.5,  3.6,  5.0,  5.7,  7.0,  8.0,  11.5,  13.2,  14.4,  17.3,  20.6,  23.8,  26.4,  27.0,  28.7,  35.3,  36.1,  41.5,  43.7,  47.0,  47.1,  48.0,  52.3,  54.1,  60.3,  68.5,  71.5,  75.8,  76.3
Indonesia,  0.3,  0.3,  0.3,  0.8,  1.0,  1.2,  2.5,  4.1,  5.8,  7.3,  8.0,  8.4,  9.2,  11.5,  13.5,  15.3,  16.0,  17.2,  16.4,  37.3,  41.6,  41.4,  44.1,  52.0,  58.2,  60.4,  62.8,  61.0,  67.3,  62.0,  63.3,  63.3,  67.4,  59.9,  59.4,  60.0,  61.2,  67.3
DPR of Korea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Malaysia,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  0.2,  0.8,  1.7,  4.4,  5.1,  5.7,  6.1,  6.3,  6.9,  13.5,  14.7,  18.9,  21.0,  23.1,  27.1,  30.4,  34.5,  41.0,  45.5,  46.5,  46.3,  48.6,  51.3,  59.4,  64.8,  67.3,  75.1
Mongolia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Myanmar,  0.1,  0.2,  0.2,  0.2,  0.3,  0.5,  0.4,  0.5,  0.5,  0.6,  0.8,  0.9,  1.0,  1.3,  1.8,  2.0,  2.0,  2.1,  2.0,  1.7,  1.6,  1.6,  2.0,  2.5,  2.8,  3.0,  3.3,  3.2,  3.0,  2.7,  2.2,  2.3,  3.0,  4.6,  7.1,  6.3,  6.3,  6.6
Nepal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pakistan,  5.3,  5.4,  6.2,  7.1,  7.7,  7.7,  8.3,  8.8,  9.4,  10.3,  11.6,  12.6,  12.6,  12.7,  13.4,  13.9,  18.1,  18.6,  21.2,  20.9,  22.2,  23.8,  25.2,  25.8,  28.0,  28.0,  28.4,  29.8,  33.7,  34.5,  37.0,  39.2,  48.2,  53.7,  56.1,  56.2,  58.7,  58.4
Philippines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.3,  3.5,  5.4,  5.0,  6.7,  6.0,  7.0,  7.2
Singapore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.9,  2.8,  3.3,  3.5,  3.1,  3.0,  3.3,  2.7,  2.8,  4.2,  6.8,  10.5,  12.4,  13.9,  15.0,  15.8,  16.3
Sri Lanka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Thailand,-,-,-,-,-,-,-,-,-,-,  0.5,  2.5,  2.9,  4.3,  5.7,  5.3,  7.9,  9.5,  9.9,  10.0,  12.8,  13.6,  15.3,  17.0,  18.2,  21.5,  26.5,  28.9,  31.6,  37.3,  41.1,  44.4,  49.3,  52.5,  53.9,  55.1,  57.8,  61.6
Vietnam,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.0,  0.0,  0.1,  0.0,  0.0,  0.1,  0.4,  0.6,  1.2,  1.9,  2.2,  2.6,  2.6,  5.4,  6.3,  10.8,  11.5,  12.1,  12.8,  14.6
Other Asia,  0.5,  0.3,  0.3,  0.4,  0.5,  0.3,  0.5,  0.3,  0.4,  0.2,  0.3,  0.4,  0.6,  1.0,  1.2,  1.2,  0.4,  0.5,  0.5,  0.6,  0.6,  0.5,  0.5,  0.5,  0.5,  0.6,  0.5,  0.5,  0.5,  0.5,  0.5,  0.3,  0.3,  0.2,  0.5,  0.6,  0.5,  0.5
Asia,  10.2,  10.7,  12.6,  15.0,  16.3,  18.0,  20.6,  22.9,  25.3,  28.7,  32.1,  36.8,  40.2,  47.1,  56.4,  63.0,  72.9,  79.1,  84.6,  111.1,  131.6,  139.7,  153.3,  171.4,  192.1,  203.7,  222.2,  234.2,  257.5,  265.7,  279.7,  300.8,  332.8,  354.6,  383.2,  399.9,  419.3,  445.3
People's Rep. of China,  7.3,  9.5,  11.7,  14.7,  17.3,  19.8,  23.7,  26.8,  28.3,  27.8,  24.6,  23.6,  24.0,  25.1,  21.9,  23.5,  24.4,  24.5,  26.0,  25.8,  27.2,  27.5,  29.6,  30.3,  31.7,  31.3,  35.2,  35.4,  38.0,  43.7,  48.9,  52.2,  60.9,  71.5,  85.7,  101.2,  127.5,  149.4
"Hong Kong, China",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.1,  3.9,  6.1,  5.7,  6.3,  5.7,  5.8,  5.5,  3.5,  5.1,  5.1,  5.4,  4.7,  5.4
China,  7.3,  9.5,  11.7,  14.7,  17.3,  19.8,  23.7,  26.8,  28.3,  27.8,  24.6,  23.6,  24.0,  25.1,  21.9,  23.5,  24.4,  24.5,  26.0,  25.8,  27.2,  27.5,  29.6,  30.3,  31.8,  35.2,  41.3,  41.1,  44.4,  49.5,  54.7,  57.7,  64.5,  76.6,  90.8,  106.5,  132.2,  154.9
European Union - 27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  657.9,  682.6,  663.2,  683.6,  695.8,  745.6,  820.1,  813.5,  835.1,  868.0,  889.5,  915.2,  919.8,  976.3,  995.9, 1 010.2, 1 000.1,  988.3, 1 013.8
