Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
France,  19.2,  23.6,  27.9,  30.1,  33.0,  36.7,  38.8,  41.4,  47.0,  47.4,  49.1,  47.5,  49.8,  52.5,  54.5,  55.1,  56.0,  54.1,  55.3,  56.1,  63.6,  64.4,  64.8,  64.5,  65.8,  72.8,  72.1,  73.9,  77.7,  81.1,  85.5,  85.5,  89.2,  90.9,  92.5,  90.1,  87.1,  90.4
Germany,  38.8,  50.9,  65.7,  82.1,  86.4,  92.0,  99.1,  106.5,  115.7,  114.9,  111.1,  103.5,  106.3,  107.2,  105.3,  107.0,  115.6,  114.9,  118.2,  118.1,  125.4,  124.5,  130.5,  137.1,  147.0,  164.2,  157.5,  158.7,  160.2,  158.4,  165.5,  165.3,  184.6,  182.3,  179.8,  182.2,  176.7,  180.8
Greece,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.1,  0.1,  0.1,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.1,  0.1,  0.1,  0.4,  1.5,  2.7,  3.9,  3.9,  4.2,  4.6,  5.1,  5.4,  6.3,  7.7,  8.1
Hungary,  6.8,  7.4,  8.9,  9.6,  10.7,  12.8,  13.9,  15.3,  16.2,  17.6,  18.1,  18.9,  18.9,  19.3,  19.2,  20.4,  20.4,  20.1,  20.9,  19.8,  19.9,  17.1,  18.6,  18.9,  20.3,  22.9,  21.8,  21.9,  22.2,  21.6,  24.0,  24.3,  26.6,  26.0,  27.0,  25.8,  24.2,  23.9
Iceland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ireland,-,-,-,-,-,-,-,-,  1.1,  1.7,  2.6,  3.9,  4.0,  4.2,  4.5,  2.8,  2.8,  3.4,  3.9,  4.0,  4.1,  4.0,  4.7,  4.7,  5.0,  5.7,  6.0,  6.1,  6.6,  7.7,  7.9,  8.2,  8.5,  8.7,  8.2,  9.3,  10.0,  10.4
Italy,  23.9,  27.7,  31.3,  35.2,  40.8,  49.5,  50.6,  48.3,  50.0,  49.3,  48.1,  48.5,  50.0,  58.8,  59.8,  63.6,  71.3,  77.5,  84.0,  89.2,  94.5,  92.6,  95.9,  93.0,  102.8,  106.4,  109.7,  118.5,  128.5,  134.0,  134.5,  133.8,  147.2,  152.4,  163.2,  159.8,  160.6,  161.1
Luxembourg,  0.0,  0.3,  0.5,  0.7,  0.8,  0.9,  1.0,  1.1,  1.1,  1.0,  0.8,  0.6,  0.6,  0.7,  0.7,  0.7,  0.8,  0.8,  0.9,  1.0,  1.0,  1.1,  1.1,  1.1,  1.3,  1.4,  1.5,  1.5,  1.5,  1.6,  1.6,  2.5,  2.5,  2.8,  2.8,  2.9,  2.8,  2.6
Netherlands,  47.0,  61.1,  67.6,  72.0,  72.5,  75.4,  76.0,  76.1,  76.0,  69.4,  66.1,  63.5,  67.7,  71.4,  75.3,  75.2,  77.5,  69.9,  71.8,  70.2,  78.6,  76.2,  78.3,  76.1,  78.6,  86.9,  81.5,  81.0,  78.8,  79.7,  82.0,  81.8,  82.3,  84.0,  80.7,  78.5,  76.2,  79.7
Norway,-,-,-,  0.0,  0.4,  0.7,  1.0,  1.6,  1.5,  2.0,  2.0,  2.2,  2.6,  2.3,  2.8,  5.0,  3.5,  4.0,  4.2,  4.6,  4.5,  7.6,  8.6,  9.2,  8.1,  7.0,  9.2,  10.1,  11.1,  8.0,  8.9,  8.9,  9.7,  10.3,  10.0,  10.3,  10.5,  11.1
Poland,  11.4,  11.9,  12.2,  12.4,  13.5,  14.9,  15.9,  16.7,  17.4,  17.6,  17.1,  16.9,  17.0,  17.7,  18.2,  19.5,  19.6,  19.9,  19.6,  18.5,  16.6,  16.0,  16.0,  17.5,  18.3,  19.0,  20.1,  19.7,  19.5,  20.6,  21.4,  21.5,  23.6,  25.2,  26.2,  26.4,  26.5,  26.8
Portugal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.2,  1.4,  4.3,  4.6,  5.2,  6.3,  6.1,  7.7,  8.6,  8.3,  8.8,  9.5
Slovak Republic,  2.9,  3.2,  3.5,  4.2,  4.9,  5.4,  6.1,  6.8,  7.4,  5.1,  5.3,  5.6,  5.7,  6.5,  6.7,  7.1,  7.5,  7.4,  8.4,  11.7,  10.0,  11.1,  10.8,  10.6,  11.7,  12.4,  12.7,  12.9,  13.3,  13.1,  13.8,  13.0,  12.5,  12.0,  13.2,  12.0,  11.3,  11.2
Spain,  0.7,  1.3,  1.9,  1.9,  1.8,  2.4,  2.3,  2.4,  3.0,  3.1,  3.7,  4.0,  4.3,  4.0,  4.5,  4.9,  5.6,  7.1,  9.4,  10.5,  11.6,  12.7,  12.8,  13.7,  17.4,  19.3,  25.5,  26.1,  30.1,  34.7,  37.7,  43.2,  49.0,  56.9,  67.2,  72.4,  73.8,  81.0
Sweden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.2,  0.5,  0.6,  0.8,  1.1,  1.2,  1.3,  1.5,  1.6,  1.7,  1.6,  1.7,  1.7,  1.8,  1.8,  1.6,  1.8,  1.9,  1.9,  1.9,  1.7,  1.7,  1.9,  1.8
Switzerland,  0.0,  0.1,  0.3,  0.5,  1.0,  1.1,  1.3,  1.4,  1.6,  1.9,  2.1,  2.2,  2.4,  2.7,  2.9,  2.9,  3.2,  3.2,  3.5,  3.8,  4.2,  4.5,  4.7,  4.6,  5.1,  5.5,  5.3,  5.5,  5.7,  5.6,  5.9,  5.8,  6.1,  6.3,  6.5,  6.3,  6.1,  6.5
Turkey,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.1,  0.1,  0.1,  0.9,  1.4,  2.4,  6.2,  6.5,  7.8,  8.5,  9.4,  10.1,  13.0,  15.8,  19.0,  20.2,  24.3,  28.9,  31.1,  34.1,  41.1,  43.3,  52.8,  60.5,  70.9,  70.2
United Kingdom,  21.6,  35.4,  45.9,  60.2,  67.2,  74.4,  78.6,  84.6,  91.3,  92.3,  93.3,  94.6,  97.0,  98.4,  105.2,  106.3,  110.9,  107.3,  103.8,  106.0,  115.1,  116.4,  129.1,  137.4,  145.4,  168.9,  173.0,  181.0,  193.2,  199.0,  200.6,  197.8,  199.0,  203.0,  196.6,  186.4,  188.5,  194.2
OECD Europe,  191.1,  245.3,  290.7,  339.0,  363.2,  399.7,  418.6,  437.3,  467.0,  460.3,  453.8,  443.1,  459.7,  481.4,  499.4,  511.6,  541.2,  537.1,  559.5,  573.0,  612.6,  614.4,  645.9,  661.3,  709.2,  785.4,  791.4,  821.0,  863.5,  885.0,  915.2,  922.3,  983.5, 1 007.8, 1 031.0, 1 027.8, 1 028.5, 1 055.5
Algeria,  2.4,  3.0,  3.5,  4.1,  4.6,  5.5,  6.2,  9.4,  13.0,  13.4,  16.5,  20.8,  23.8,  21.7,  21.7,  26.5,  26.0,  28.4,  28.0,  27.4,  29.5,  30.1,  31.8,  31.2,  32.4,  32.3,  34.3,  35.3,  37.4,  37.6,  38.4,  40.2,  44.1,  43.1,  46.9,  48.9,  50.2,  50.8
Angola,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.3,  0.3,  0.3,  0.3,  1.0,  1.1,  1.1,  1.1,  1.0,  1.1,  1.1,  1.1,  1.1,  1.1,  1.1,  1.0,  1.2,  1.2,  1.4,  1.4,  1.5,  1.6,  1.3
Benin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Botswana,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cameroon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.6,  0.6
Congo,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,-,  0.0,  0.0,  0.0,  0.0,  0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
Dem. Rep. of Congo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.0
