Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
France,  135.3,  119.2,  118.7,  117.6,  104.2,  118.1,  118.7,  115.5,  121.6,  121.2,  107.5,  111.1,  100.1,  96.8,  91.3,  78.0,  71.0,  71.2,  77.6,  73.6,  78.6,  69.9,  54.0,  54.1,  57.5,  61.0,  56.1,  65.6,  58.2,  57.5,  48.3,  49.9,  51.3,  49.8,  53.7,  50.5,  53.3,  48.7
Germany,  554.1,  544.1,  550.6,  550.3,  494.5,  525.6,  506.0,  516.1,  546.6,  552.2,  561.6,  549.0,  556.8,  580.7,  580.7,  563.3,  554.3,  551.0,  549.4,  504.6,  449.0,  409.2,  390.7,  381.7,  370.1,  372.5,  355.4,  346.9,  328.7,  337.2,  339.5,  340.6,  340.1,  348.9,  331.9,  339.3,  349.9,  328.3
Greece,  6.8,  7.7,  8.5,  9.0,  11.0,  13.2,  13.7,  12.7,  13.8,  13.4,  15.1,  16.3,  20.1,  21.4,  24.9,  25.4,  27.9,  30.7,  33.1,  33.4,  32.1,  33.3,  33.3,  33.5,  33.3,  32.4,  34.8,  36.3,  35.0,  37.4,  38.6,  37.2,  37.4,  38.3,  37.8,  34.7,  36.6,  34.6
Hungary,  34.9,  34.1,  34.9,  33.8,  32.9,  34.1,  34.1,  37.3,  36.7,  36.3,  35.9,  37.0,  35.5,  35.9,  34.5,  33.7,  33.8,  32.0,  30.1,  24.2,  22.7,  18.9,  17.9,  17.3,  17.0,  16.8,  16.1,  15.8,  16.1,  15.2,  14.6,  14.3,  14.7,  14.1,  12.2,  11.9,  11.9,  11.6
Iceland,  0.0,  0.0,  0.0,-,-,-,-,-,  0.1,  0.1,  0.1,  0.1,  0.2,  0.2,  0.3,  0.3,  0.2,  0.2,  0.2,  0.3,  0.3,  0.2,  0.2,  0.3,  0.2,  0.3,  0.2,  0.3,  0.2,  0.4,  0.4,  0.4,  0.4,  0.4,  0.4,  0.4,  0.5,  0.3
Ireland,  8.8,  8.2,  6.9,  7.9,  7.1,  7.5,  7.9,  6.8,  8.4,  8.0,  8.5,  9.0,  9.6,  9.2,  10.5,  11.3,  14.5,  14.6,  14.9,  13.7,  13.3,  12.9,  12.4,  11.7,  11.6,  11.8,  11.1,  11.2,  9.6,  10.3,  10.8,  10.6,  10.0,  9.3,  10.3,  9.4,  8.8,  9.1
Italy,  31.7,  29.9,  29.4,  34.0,  30.2,  33.7,  33.8,  33.1,  38.3,  43.0,  47.3,  50.9,  46.2,  55.0,  58.1,  53.4,  54.7,  51.4,  51.1,  55.1,  51.9,  44.6,  39.1,  41.7,  44.9,  41.2,  41.2,  42.2,  41.4,  43.3,  48.5,  49.8,  54.7,  62.4,  62.8,  69.8,  61.0,  58.9
Luxembourg,  11.3,  10.6,  11.1,  10.2,  7.5,  8.0,  7.3,  8.4,  7.9,  7.9,  6.4,  5.9,  5.5,  6.3,  6.3,  5.7,  4.6,  4.9,  5.2,  5.0,  4.6,  4.2,  4.4,  3.7,  2.1,  1.9,  1.3,  0.4,  0.4,  0.5,  0.4,  0.4,  0.3,  0.4,  0.3,  0.4,  0.3,  0.3
Netherlands,  14.4,  13.5,  15.0,  14.0,  11.5,  10.3,  10.5,  11.7,  12.0,  13.8,  16.2,  18.6,  19.5,  23.2,  23.1,  24.0,  25.6,  30.9,  31.2,  31.8,  29.1,  28.7,  30.1,  31.8,  33.1,  31.9,  31.2,  31.9,  27.9,  29.1,  31.1,  31.3,  32.2,  31.7,  30.3,  28.8,  31.4,  29.8
Norway,  3.7,  4.0,  3.8,  4.2,  3.9,  3.8,  3.4,  3.4,  4.2,  3.9,  3.9,  3.7,  4.0,  4.5,  4.4,  3.9,  3.8,  4.0,  3.5,  3.4,  3.1,  3.1,  3.3,  3.7,  4.1,  4.0,  4.0,  4.3,  4.1,  4.2,  3.7,  3.1,  3.1,  3.5,  3.0,  2.6,  2.9,  3.0
